date,idr,myr,php,sgd,thb
2006-01-02,9795,NA,53.062,NA,NA
2006-01-03,9775,NA,52.903,1.6574,40.893
2006-01-04,9670,3.7748,52.652,1.6476,NA
2006-01-05,9650,3.7659,52.43,1.6465,NA
2006-01-06,NA,3.7555,52.469,1.6479,NA
2006-01-09,9460,3.7485,52.646,1.6347,39.802
2006-01-10,NA,NA,52.421,NA,39.878
2006-01-11,9500,3.7503,52.549,1.6366,39.873
2006-01-12,9385,3.7418,52.65,1.6247,NA
2006-01-13,9390,3.7423,52.453,1.6308,NA
2006-01-16,9370,3.7364,52.44,1.6254,39.56
2006-01-17,9470,3.749,52.453,1.6321,39.726
2006-01-18,9495,3.755,52.615,1.6333,39.625
2006-01-19,9480,3.7545,52.772,1.6313,NA
2006-01-20,NA,3.748,52.823,1.6325,NA
2006-01-23,9415,3.75,52.867,1.6217,39.12
2006-01-24,9440,3.7485,52.867,1.6223,NA
2006-01-25,9465,3.75,52.747,1.6235,NA
2006-01-26,9355,3.748,52.556,1.6209,NA
2006-01-27,9370,3.751,52.431,1.6244,38.7374
2006-01-30,NA,NA,52.435,NA,38.8141
2006-01-31,NA,NA,52.336,NA,39.078
2006-02-01,9320,NA,52.167,1.6231,NA
2006-02-02,9335,NA,52.081,1.6317,NA
2006-02-03,9310,3.7525,52.097,1.6326,NA
2006-02-06,9280,3.7409,51.949,1.627,NA
2006-02-07,9220,3.7348,51.698,1.6319,NA
2006-02-08,9230,3.735,51.673,1.6309,NA
2006-02-09,NA,3.73,51.759,1.6321,NA
2006-02-10,9200,NA,51.856,1.6299,NA
2006-02-13,9230,3.723,51.499,1.6292,NA
2006-02-14,9233,3.723,51.555,1.6283,NA
2006-02-15,9215,3.722,51.568,1.6293,NA
2006-02-16,9220,3.724,51.55,1.631,NA
2006-02-17,9225,3.723,51.639,1.636,NA
2006-02-20,9230,3.7195,51.777,1.6301,39.322
2006-02-21,9240,3.7208,51.908,1.63,NA
2006-02-22,9265,3.7195,51.959,1.6294,NA
2006-02-23,9335,3.7195,51.734,1.6313,NA
2006-02-24,NA,3.7153,51.77,1.6264,NA
2006-02-27,9270,3.7135,52.009,1.6233,NA
2006-02-28,9230,3.7135,52.088,1.6247,39.309
2006-03-01,9170,3.7115,51.725,1.6197,NA
2006-03-02,9200,3.7093,51.43,1.619,NA
2006-03-03,9195,NA,51.26,1.6196,NA
2006-03-06,9197,3.7063,51.192,1.6233,NA
2006-03-07,9195,3.7093,51.102,1.6265,38.918
2006-03-08,9280,3.7172,50.963,1.6314,38.134
2006-03-09,9370,3.725,51.313,1.6317,NA
2006-03-10,9305,3.724,51.484,1.6299,39.109
2006-03-13,9245,3.7185,51.408,1.6277,39.146
2006-03-14,9210,3.719,51.259,1.6252,39.166
2006-03-15,9143,3.7075,51.193,1.6222,39.188
2006-03-16,9143,3.7035,51.047,1.6183,39.107
2006-03-17,9170,3.704,51.092,1.618,NA
2006-03-20,9130,NA,51.066,1.617,38.746
2006-03-21,9130,NA,51.042,1.616,38.79
2006-03-22,9120,3.692,51.094,1.6193,38.942
2006-03-23,9090,3.69,51.163,1.6174,NA
2006-03-24,9110,3.6965,51.154,1.6207,39.04
2006-03-27,9095,3.6925,51.211,1.6163,39.14
2006-03-28,9030,3.6945,51.17,1.6192,38.931
2006-03-29,9075,3.696,51.145,1.6211,38.876
2006-03-30,NA,3.6945,51.238,1.6206,38.993
2006-03-31,NA,3.686,51.284,1.6183,38.871
2006-04-03,9045,3.6818,51.158,1.617,38.834
2006-04-04,9010,3.681,51.089,1.6156,38.916
2006-04-05,8995,3.6728,51.002,1.6048,38.704
2006-04-06,9000,3.6708,50.997,1.6065,NA
2006-04-07,9005,3.6698,51.119,1.6048,38.327
2006-04-10,NA,3.668,51.101,1.6038,38.202
2006-04-11,8990,NA,51.132,1.6112,38.085
2006-04-12,8995,3.6673,51.22,1.611,37.985
2006-04-13,9010,3.6775,NA,1.6093,NA
2006-04-14,NA,3.673,NA,NA,NA
2006-04-17,8985,3.6705,51.257,1.6029,NA
2006-04-18,8980,3.6705,51.281,1.6031,37.941
2006-04-19,8970,3.668,51.468,1.5989,NA
2006-04-20,8910,3.6645,51.423,1.5988,37.962
