date,country,fx_lcu_per_usd,fx_return
2006-01-02,idr,9795,NA
2006-01-03,idr,9775,-0.20439455250755856
2006-01-04,idr,9670,-1.0799796406226747
2006-01-05,idr,9650,-0.20703941143072055
2006-01-06,idr,NA,NA
2006-01-09,idr,9460,NA
2006-01-10,idr,NA,NA
2006-01-11,idr,9500,NA
2006-01-12,idr,9385,-1.2179128568021724
2006-01-13,idr,9390,0.05326231816979998
2006-01-16,idr,9370,-0.2132196969840905
2006-01-17,idr,9470,1.0615810947657067
2006-01-18,idr,9495,0.2636437066261266
2006-01-19,idr,9480,-0.1581027997318074
2006-01-20,idr,NA,NA
2006-01-23,idr,9415,NA
2006-01-24,idr,9440,0.26518180482941744
2006-01-25,idr,9465,0.26448045038751644
2006-01-26,idr,9355,-1.168982493523174
2006-01-27,idr,9370,0.16021365242764318
2006-01-30,idr,NA,NA
2006-01-31,idr,NA,NA
2006-02-01,idr,9320,NA
2006-02-02,idr,9335,0.16081482961869398
2006-02-03,idr,9310,-0.26816857047116116
2006-02-06,idr,9280,-0.3227544490865597
2006-02-07,idr,9220,-0.6486509229606696
2006-02-08,idr,9230,0.1084010946257763
2006-02-09,idr,NA,NA
2006-02-10,idr,9200,NA
2006-02-13,idr,9230,0.3255564459765381
2006-02-14,idr,9233,0.03249742757294172
2006-02-15,idr,9215,-0.19514316687025968
2006-02-16,idr,9220,0.05424464467154166
2006-02-17,idr,9225,0.05421523580881882
2006-02-20,idr,9230,0.05418585881695748
2006-02-21,idr,9240,0.1082837138831394
2006-02-22,idr,9265,0.27019740837310735
2006-02-23,idr,9335,0.7526917256363674
2006-02-24,idr,NA,NA
2006-02-27,idr,9270,NA
2006-02-28,idr,9230,-0.4324331063003228
2006-03-01,idr,9170,-0.6521762246386231
2006-03-02,idr,9200,0.326619778662085
2006-03-03,idr,9195,-0.05436259987110503
2006-03-06,idr,9197,0.02174858642760568
2006-03-07,idr,9195,-0.02174858642760568
2006-03-08,idr,9280,0.9201688741825363
2006-03-09,idr,9370,0.9651549452220464
2006-03-10,idr,9305,-0.6961206156116617
2006-03-13,idr,9245,-0.646902525512516
2006-03-14,idr,9210,-0.3793014571872533
2006-03-15,idr,9143,-0.7301291084926831
2006-03-16,idr,9143,0
2006-03-17,idr,9170,0.2948727086085512
2006-03-20,idr,9130,-0.4371591661497476
2006-03-21,idr,9130,0
2006-03-22,idr,9120,-0.10958905206361892
2006-03-23,idr,9090,-0.32948958968539444
2006-03-24,idr,9110,0.21978030824794104
2006-03-27,idr,9095,-0.1647899301779887
2006-03-28,idr,9030,-0.7172444541192036
2006-03-29,idr,9075,0.4971012722020163
2006-03-30,idr,NA,NA
2006-03-31,idr,NA,NA
2006-04-03,idr,9045,NA
2006-04-04,idr,9010,-0.3877047227010877
2006-04-05,idr,8995,-0.16662042177504333
2006-04-06,idr,9000,0.05557099337227811
2006-04-07,idr,9005,0.05554012916988427
2006-04-10,idr,NA,NA
2006-04-11,idr,8990,NA
2006-04-12,idr,8995,0.05560189189672826
2006-04-13,idr,9010,0.16662042177504333
2006-04-14,idr,NA,NA
2006-04-17,idr,8985,NA
2006-04-18,idr,8980,-0.05566379214130279
2006-04-19,idr,8970,-0.111420624340397
2006-04-20,idr,8910,-0.6711434587986176
2006-04-21,idr,8900,-0.11229647446242552
2006-04-24,idr,8845,-0.6198949126344999
2006-04-25,idr,8805,-0.45325856635791695
2006-04-26,idr,8835,0.3401363823488879
2006-04-27,idr,8810,-0.2833665823571252
2006-04-28,idr,8775,-0.39806705961584754
2006-05-01,idr,8785,0.11389522871319002
2006-05-02,idr,8770,-0.1708915254969412
2006-05-03,idr,8767,-0.03421337776430278
2006-05-04,idr,8775,0.09120967454805395
2006-05-05,idr,8785,0.11389522871319002
2006-05-08,idr,8735,-0.5707778053041679
2006-05-09,idr,8760,0.2857961362281003
2006-05-10,idr,8725,-0.4003436859809639
2006-05-11,idr,8740,0.1717721578952336
2006-05-12,idr,8720,-0.22909517465556917
2006-05-15,idr,8895,1.9870083196911636
2006-05-16,idr,9175,3.099307282283448
2006-05-17,idr,9060,-1.2613273885746068
2006-05-18,idr,9230,1.858992845987295
2006-05-19,idr,NA,NA
2006-05-22,idr,9275,NA
2006-05-23,idr,9320,0.484002020400176
2006-05-24,idr,9310,-0.10735374085246718
2006-05-25,idr,NA,NA
2006-05-26,idr,NA,NA
2006-05-29,idr,NA,NA
2006-05-30,idr,NA,NA
2006-05-31,idr,9220,NA
2006-06-01,idr,9260,0.4329011089584611
2006-06-02,idr,9280,0.2157498140022085
2006-06-05,idr,NA,NA
2006-06-06,idr,9300,NA
2006-06-07,idr,9355,0.5896559566842541
2006-06-08,idr,9395,0.4266673139374788
2006-06-09,idr,9445,0.5307868088044287
2006-06-12,idr,9410,-0.37125473561836486
2006-06-13,idr,9440,0.31830265601211494
2006-06-14,idr,9520,0.8438868645864517
2006-06-15,idr,9410,-1.1621895205985666
2006-06-16,idr,9320,-0.9610324899789192
2006-06-19,idr,9345,0.26788122100267486
