"meeting_start","meeting_end","decision_date","meeting_type","source","notes"
"2008-01-21","2008-01-21","2008-01-22","unscheduled","FED_HIST","conference call; statement released 22 Jan 2008"
"2008-01-29","2008-01-30","2008-01-30","scheduled","FED_HIST",""
"2008-03-10","2008-03-10","2008-03-11","unscheduled","FED_HIST","conference call; statement released 11 Mar 2008"
"2008-03-18","2008-03-18","2008-03-18","scheduled","FED_HIST",""
"2008-04-29","2008-04-30","2008-04-30","scheduled","FED_HIST",""
"2008-06-24","2008-06-25","2008-06-25","scheduled","FED_HIST",""
"2008-08-05","2008-08-05","2008-08-05","scheduled","FED_HIST",""
"2008-09-16","2008-09-16","2008-09-16","scheduled","FED_HIST",""
"2008-10-07","2008-10-07","2008-10-08","unscheduled","FED_HIST","conference call; coordinated cut announced 8 Oct 2008"
"2008-10-28","2008-10-29","2008-10-29","scheduled","FED_HIST",""
"2008-12-15","2008-12-16","2008-12-16","scheduled","FED_HIST","expanded to two days vs tentative Dec 16"
"2009-01-27","2009-01-28","2009-01-28","scheduled","FED_SCHED",""
"2009-03-17","2009-03-18","2009-03-18","scheduled","FED_SCHED","SPOT-CHECK: tentative listed Mar 17 only"
"2009-04-28","2009-04-29","2009-04-29","scheduled","FED_SCHED",""
"2009-06-23","2009-06-24","2009-06-24","scheduled","FED_SCHED",""
"2009-08-11","2009-08-12","2009-08-12","scheduled","FED_SCHED","SPOT-CHECK: tentative listed Aug 11 only"
"2009-09-22","2009-09-23","2009-09-23","scheduled","FED_SCHED","SPOT-CHECK: tentative listed Sep 22 only"
"2009-11-03","2009-11-04","2009-11-04","scheduled","FED_SCHED",""
"2009-12-15","2009-12-16","2009-12-16","scheduled","FED_SCHED","SPOT-CHECK: tentative listed Dec 15 only"
"2010-01-26","2010-01-27","2010-01-27","scheduled","FED_SCHED",""
"2010-03-16","2010-03-16","2010-03-16","scheduled","FED_SCHED",""
"2010-04-27","2010-04-28","2010-04-28","scheduled","FED_SCHED",""
"2010-06-22","2010-06-23","2010-06-23","scheduled","FED_SCHED",""
"2010-08-10","2010-08-10","2010-08-10","scheduled","FED_SCHED",""
"2010-09-21","2010-09-21","2010-09-21","scheduled","FED_SCHED",""
"2010-11-02","2010-11-03","2010-11-03","scheduled","FED_SCHED",""
"2010-12-14","2010-12-14","2010-12-14","scheduled","FED_SCHED",""
"2011-01-25","2011-01-26","2011-01-26","scheduled","FED_SCHED",""
"2011-03-15","2011-03-15","2011-03-15","scheduled","FED_SCHED",""
"2011-04-26","2011-04-27","2011-04-27","scheduled","FED_SCHED",""
"2011-06-21","2011-06-22","2011-06-22","scheduled","FED_SCHED",""
"2011-08-09","2011-08-09","2011-08-09","scheduled","FED_SCHED",""
"2011-09-20","2011-09-21","2011-09-21","scheduled","FED_SCHED","SPOT-CHECK: tentative listed Sep 20 only; expanded to two days"
"2011-11-01","2011-11-02","2011-11-02","scheduled","FED_SCHED",""
"2011-12-13","2011-12-13","2011-12-13","scheduled","FED_SCHED",""
"2012-01-24","2012-01-25","2012-01-25","scheduled","FED_SCHED",""
"2012-03-13","2012-03-13","2012-03-13","scheduled","FED_SCHED",""
"2012-04-24","2012-04-25","2012-04-25","scheduled","FED_SCHED",""
"2012-06-19","2012-06-20","2012-06-20","scheduled","FED_SCHED","revised schedule of 16 May 2012"
"2012-07-31","2012-08-01","2012-08-01","scheduled","FED_SCHED","revised schedule of 16 May 2012"
"2012-09-12","2012-09-13","2012-09-13","scheduled","FED_SCHED","revised schedule of 16 May 2012"
"2012-10-23","2012-10-24","2012-10-24","scheduled","FED_SCHED",""
"2012-12-11","2012-12-12","2012-12-12","scheduled","FED_SCHED","revised schedule of 16 May 2012"
"2013-01-29","2013-01-30","2013-01-30","scheduled","FED_SCHED",""
"2013-03-19","2013-03-20","2013-03-20","scheduled","FED_SCHED",""
"2013-04-30","2013-05-01","2013-05-01","scheduled","FED_SCHED",""
"2013-06-18","2013-06-19","2013-06-19","scheduled","FED_SCHED",""
"2013-07-30","2013-07-31","2013-07-31","scheduled","FED_SCHED",""
"2013-09-17","2013-09-18","2013-09-18","scheduled","FED_SCHED",""
"2013-10-29","2013-10-30","2013-10-30","scheduled","FED_SCHED",""
"2013-12-17","2013-12-18","2013-12-18","scheduled","FED_SCHED",""
"2014-01-28","2014-01-29","2014-01-29","scheduled","FED_SCHED",""
"2014-03-18","2014-03-19","2014-03-19","scheduled","FED_SCHED",""
"2014-04-29","2014-04-30","2014-04-30","scheduled","FED_SCHED",""
"2014-06-17","2014-06-18","2014-06-18","scheduled","FED_SCHED",""
"2014-07-29","2014-07-30","2014-07-30","scheduled","FED_SCHED",""
"2014-09-16","2014-09-17","2014-09-17","scheduled","FED_SCHED",""
"2014-10-28","2014-10-29","2014-10-29","scheduled","FED_SCHED",""
"2014-12-16","2014-12-17","2014-12-17","scheduled","FED_SCHED",""
"2015-01-27","2015-01-28","2015-01-28","scheduled","FED_SCHED",""
"2015-03-17","2015-03-18","2015-03-18","scheduled","FED_SCHED",""
"2015-04-28","2015-04-29","2015-04-29","scheduled","FED_SCHED",""
"2015-06-16","2015-06-17","2015-06-17","scheduled","FED_SCHED",""
"2015-07-28","2015-07-29","2015-07-29","scheduled","FED_SCHED",""
"2015-09-16","2015-09-17","2015-09-17","scheduled","FED_SCHED",""
"2015-10-27","2015-10-28","2015-10-28","scheduled","FED_SCHED",""
"2015-12-15","2015-12-16","2015-12-16","scheduled","FED_SCHED",""
"2016-01-26","2016-01-27","2016-01-27","scheduled","FED_SCHED",""
"2016-03-15","2016-03-16","2016-03-16","scheduled","FED_SCHED",""
"2016-04-26","2016-04-27","2016-04-27","scheduled","FED_SCHED",""
"2016-06-14","2016-06-15","2016-06-15","scheduled","FED_SCHED",""
"2016-07-26","2016-07-27","2016-07-27","scheduled","FED_SCHED",""
"2016-09-20","2016-09-21","2016-09-21","scheduled","FED_SCHED",""
"2016-11-01","2016-11-02","2016-11-02","scheduled","FED_SCHED",""
"2016-12-13","2016-12-14","2016-12-14","scheduled","FED_SCHED",""
"2017-01-31","2017-02-01","2017-02-01","scheduled","FED_SCHED",""
"2017-03-14","2017-03-15","2017-03-15","scheduled","FED_SCHED",""
"2017-05-02","2017-05-03","2017-05-03","scheduled","FED_SCHED",""
"2017-06-13","2017-06-14","2017-06-14","scheduled","FED_SCHED",""
"2017-07-25","2017-07-26","2017-07-26","scheduled","FED_SCHED",""
"2017-09-19","2017-09-20","2017-09-20","scheduled","FED_SCHED",""
"2017-10-31","2017-11-01","2017-11-01","scheduled","FED_SCHED",""
"2017-12-12","2017-12-13","2017-12-13","scheduled","FED_SCHED",""
"2018-01-30","2018-01-31","2018-01-31","scheduled","FED_SCHED",""
"2018-03-20","2018-03-21","2018-03-21","scheduled","FED_SCHED",""
"2018-05-01","2018-05-02","2018-05-02","scheduled","FED_SCHED",""
"2018-06-12","2018-06-13","2018-06-13","scheduled","FED_SCHED",""
"2018-07-31","2018-08-01","2018-08-01","scheduled","FED_SCHED",""
"2018-09-25","2018-09-26","2018-09-26","scheduled","FED_SCHED",""
"2018-11-07","2018-11-08","2018-11-08","scheduled","FED_SCHED",""
"2018-12-18","2018-12-19","2018-12-19","scheduled","FED_SCHED",""
"2019-01-29","2019-01-30","2019-01-30","scheduled","FED_SCHED",""
"2019-03-19","2019-03-20","2019-03-20","scheduled","FED_SCHED",""
"2019-04-30","2019-05-01","2019-05-01","scheduled","FED_SCHED",""
"2019-06-18","2019-06-19","2019-06-19","scheduled","FED_SCHED",""
"2019-07-30","2019-07-31","2019-07-31","scheduled","FED_SCHED",""
"2019-09-17","2019-09-18","2019-09-18","scheduled","FED_SCHED",""
"2019-10-29","2019-10-30","2019-10-30","scheduled","FED_SCHED",""
"2019-12-10","2019-12-11","2019-12-11","scheduled","FED_SCHED",""
"2020-01-28","2020-01-29","2020-01-29","scheduled","FRASER",""
"2020-03-02","2020-03-02","2020-03-03","unscheduled","FRASER","unscheduled meeting 2 Mar; statement released 3 Mar 2020"
"2020-03-15","2020-03-15","2020-03-15","unscheduled","FRASER","unscheduled meeting, Sunday 15 Mar 2020"
"2020-04-28","2020-04-29","2020-04-29","scheduled","FRASER",""
"2020-06-09","2020-06-10","2020-06-10","scheduled","FRASER",""
"2020-07-28","2020-07-29","2020-07-29","scheduled","FRASER",""
"2020-09-15","2020-09-16","2020-09-16","scheduled","FRASER",""
"2020-11-04","2020-11-05","2020-11-05","scheduled","FRASER",""
"2020-12-15","2020-12-16","2020-12-16","scheduled","FRASER",""
