shock,matching,period,beta_USD,beta_D,beta_basket,rhs,residual
1Y,exact,full,0.356087801835015,-1.1796581181341095,1.535745919969124,0.35608780183501443,5.551115123125783e-16
1Y,exact,pre-split,0.6316551193122689,-0.8531196783388983,1.4847747976511676,0.6316551193122693,-3.3306690738754696e-16
1Y,exact,post-split,-1.5088010801999188,-3.411494093654677,1.9026930134547373,-1.5088010801999399,2.1094237467877974e-14
1Y,exact,interaction,-2.157340525086822,-2.554002297965064,0.39666177287827264,-2.1573405250867914,-3.064215547965432e-14
1Y,rolled,full,0.25420268574193317,-0.9970434855838918,1.2512461713258223,0.2542026857419305,2.6645352591003757e-15
1Y,rolled,pre-split,0.4628528631444776,-0.7668263427057412,1.2296792058502186,0.4628528631444774,2.220446049250313e-16
1Y,rolled,post-split,-1.4156351960336822,-2.8497325804145865,1.4340973843809068,-1.4156351960336797,-2.4424906541753444e-15
1Y,rolled,interaction,-1.8920461064927427,-2.0810407544980243,0.18899464800536392,-1.8920461064926604,-8.237854842718662e-14
5Y,exact,full,0.20803078220697374,-1.0823513623939907,1.290382144600962,0.20803078220697135,2.3869795029440866e-15
5Y,exact,pre-split,0.40994256774030996,-1.0219247778202052,1.4318673455605153,0.4099425677403101,-1.6653345369377348e-16
5Y,exact,post-split,-1.0785656403047594,-1.4881528900993999,0.4095872497946416,-1.0785656403047583,-1.1102230246251565e-15
5Y,exact,interaction,-1.505069008992935,-0.46207508637560113,-1.04299392261732,-1.505069008992921,-1.3988810110276972e-14
5Y,rolled,full,0.1451420172027508,-0.9282827406037197,1.073424757806468,0.14514201720274822,2.581268532253489e-15
5Y,rolled,pre-split,0.30232920264757107,-0.9251640188358369,1.227493221483406,0.30232920264756913,1.942890293094024e-15
5Y,rolled,post-split,-0.9881815834346066,-0.9717748253493794,-0.016406758085227388,-0.9881815834346068,2.220446049250313e-16
5Y,rolled,interaction,-1.304455964642058,-0.0449050946118994,-1.2595508700301594,-1.3044559646420588,8.881784197001252e-16
