shock,matching,period,se_usd,se_basket,se_D,implied_cov,implied_corr
1Y,exact,full,0.3793185005936807,0.8251605111318757,0.6075324248884486,-0.4530514957648093,-0.9037320212004551
1Y,exact,pre-split,0.3631764597076544,0.9198912120731572,0.6830143654224857,-0.5904056622685587,-0.9396891360925178
1Y,exact,post-split,0.5469742028901323,1.750872471147677,1.8116995071810853,-3.0243143679578326,-0.9534243779527366
1Y,exact,interaction,0.6596253213793529,1.9783662907936428,1.9354794566955262,-3.6124541716170953,-0.9434243399828808
1Y,rolled,full,0.34946777646402244,0.7288987845915766,0.5648193871654458,-0.3640933257551597,-0.8843738583660079
1Y,rolled,pre-split,0.34437408590427215,0.7962365012250988,0.6178678532649249,-0.44857986946949524,-0.9118052687712288
1Y,rolled,post-split,0.7363166328367772,1.660205060239604,1.6461806449039742,-2.462014686954781,-0.9008477848750861
1Y,rolled,interaction,0.8144018179775258,1.841472042245644,1.7576199495171856,-2.9084984240940193,-0.898625482590102
5Y,exact,full,0.30657327184333266,0.8194354406895951,0.6812811004375354,-0.520815604131402,-0.9329167766412676
5Y,exact,pre-split,0.33148613644854186,0.8992812310801654,0.7492417418211423,-0.630093430801328,-0.9351633060267425
5Y,exact,post-split,0.3573766342227926,1.6744284958570144,1.6130761422411621,-2.6390036848586007,-0.977053899478775
5Y,exact,interaction,0.4910137036291194,1.8996376575834082,1.7777325364243513,-3.263930872009575,-0.9665042337854394
5Y,rolled,full,0.29177955696404795,0.7248676116038311,0.6180795796026549,-0.4111600556059505,-0.9177149900897421
5Y,rolled,pre-split,0.3091588795489857,0.7847666277306306,0.6729653503639552,-0.48658090499310147,-0.9213440416743615
5Y,rolled,post-split,0.5418559018963129,1.5800879927640568,1.4932846969735853,-2.216484716336386,-0.9393790138652602
5Y,rolled,interaction,0.6256681427998184,1.7635948308218847,1.6372576779423813,-2.6997094031841886,-0.9349775138576256
