leg,shock,matching,period,term,coef,se,pval,nobs
beta_USD,1Y,exact,full,shock_1y,0.356087801835015,0.3793185005936807,0.347931222877642,12611
beta_D,1Y,exact,full,shock_1y,-1.1796581181341095,0.6075324248884486,0.05226445942183422,12611
beta_basket,1Y,exact,full,shock_1y,1.535745919969124,0.8251605111318757,0.06282101297461931,12611
beta_USD,1Y,exact,pre-split,shock_1y,0.6316551193122689,0.3631764597076544,0.08215762613989097,7912
beta_D,1Y,exact,pre-split,shock_1y,-0.8531196783388983,0.6830143654224857,0.21180517869101684,7912
beta_basket,1Y,exact,pre-split,shock_1y,1.4847747976511676,0.9198912120731572,0.10668210872707683,7912
beta_USD,1Y,exact,post-split,shock_1y,-1.5088010801999188,0.5469742028901323,0.0058991259879639536,4699
beta_D,1Y,exact,post-split,shock_1y,-3.411494093654677,1.8116995071810853,0.05994627705943185,4699
beta_basket,1Y,exact,post-split,shock_1y,1.9026930134547373,1.750872471147677,0.277390733271957,4699
beta_USD,1Y,exact,interaction,shock_1y,-2.157340525086822,0.6596253213793529,0.001085507300818795,12611
beta_D,1Y,exact,interaction,shock_1y,-2.554002297965064,1.9354794566955262,0.18707902788193,12611
beta_basket,1Y,exact,interaction,shock_1y,0.39666177287827264,1.9783662907936428,0.8411034128964914,12611
beta_USD,1Y,rolled,full,shock_1y_roll,0.25420268574193317,0.34946777646402244,0.46703802160035657,12611
beta_D,1Y,rolled,full,shock_1y_roll,-0.9970434855838918,0.5648193871654458,0.07762464948441036,12611
beta_basket,1Y,rolled,full,shock_1y_roll,1.2512461713258223,0.7288987845915766,0.08615086306151133,12611
beta_USD,1Y,rolled,pre-split,shock_1y_roll,0.4628528631444776,0.34437408590427215,0.1791006690527276,7912
beta_D,1Y,rolled,pre-split,shock_1y_roll,-0.7668263427057412,0.6178678532649249,0.21473248990791344,7912
beta_basket,1Y,rolled,pre-split,shock_1y_roll,1.2296792058502186,0.7962365012250988,0.1226718835111151,7912
beta_USD,1Y,rolled,post-split,shock_1y_roll,-1.4156351960336822,0.7363166328367772,0.05477680274179355,4699
beta_D,1Y,rolled,post-split,shock_1y_roll,-2.8497325804145865,1.6461806449039742,0.08369734877844745,4699
beta_basket,1Y,rolled,post-split,shock_1y_roll,1.4340973843809068,1.660205060239604,0.3878727473724157,4699
beta_USD,1Y,rolled,interaction,shock_1y_roll,-1.8920461064927427,0.8144018179775258,0.020233112126485812,12611
beta_D,1Y,rolled,interaction,shock_1y_roll,-2.0810407544980243,1.7576199495171856,0.23650264558417697,12611
beta_basket,1Y,rolled,interaction,shock_1y_roll,0.18899464800536392,1.841472042245644,0.9182616069209499,12611
beta_USD,5Y,exact,full,shock_5y,0.20803078220697374,0.30657327184333266,0.4974640249163992,12611
beta_D,5Y,exact,full,shock_5y,-1.0823513623939907,0.6812811004375354,0.11223348850821428,12611
beta_basket,5Y,exact,full,shock_5y,1.290382144600962,0.8194354406895951,0.11542631603215343,12611
beta_USD,5Y,exact,pre-split,shock_5y,0.40994256774030996,0.33148613644854186,0.21636323040802208,7912
beta_D,5Y,exact,pre-split,shock_5y,-1.0219247778202052,0.7492417418211423,0.17275141078194856,7912
beta_basket,5Y,exact,pre-split,shock_5y,1.4318673455605153,0.8992812310801654,0.1115034178807636,7912
beta_USD,5Y,exact,post-split,shock_5y,-1.0785656403047594,0.3573766342227926,0.0026000888780891383,4699
beta_D,5Y,exact,post-split,shock_5y,-1.4881528900993999,1.6130761422411621,0.3564310323938572,4699
beta_basket,5Y,exact,post-split,shock_5y,0.4095872497946416,1.6744284958570144,0.8067993447489075,4699
beta_USD,5Y,exact,interaction,shock_5y,-1.505069008992935,0.4910137036291194,0.0021943998078401165,12611
beta_D,5Y,exact,interaction,shock_5y,-0.46207508637560113,1.7777325364243513,0.7949403496427598,12611
beta_basket,5Y,exact,interaction,shock_5y,-1.04299392261732,1.8996376575834082,0.5830127693096082,12611
beta_USD,5Y,rolled,full,shock_5y_roll,0.1451420172027508,0.29177955696404795,0.6189172062884495,12611
beta_D,5Y,rolled,full,shock_5y_roll,-0.9282827406037197,0.6180795796026549,0.13323276884709542,12611
beta_basket,5Y,rolled,full,shock_5y_roll,1.073424757806468,0.7248676116038311,0.13874988705529379,12611
beta_USD,5Y,rolled,pre-split,shock_5y_roll,0.30232920264757107,0.3091588795489857,0.32824782320426427,7912
beta_D,5Y,rolled,pre-split,shock_5y_roll,-0.9251640188358369,0.6729653503639552,0.16937390989458467,7912
beta_basket,5Y,rolled,pre-split,shock_5y_roll,1.227493221483406,0.7847666277306306,0.11795396850722623,7912
beta_USD,5Y,rolled,post-split,shock_5y_roll,-0.9881815834346066,0.5418559018963129,0.06845560449802654,4699
beta_D,5Y,rolled,post-split,shock_5y_roll,-0.9717748253493794,1.4932846969735853,0.5153285270932043,4699
beta_basket,5Y,rolled,post-split,shock_5y_roll,-0.016406758085227388,1.5800879927640568,0.9917171477989815,4699
beta_USD,5Y,rolled,interaction,shock_5y_roll,-1.304455964642058,0.6256681427998184,0.037162673850038595,12611
beta_D,5Y,rolled,interaction,shock_5y_roll,-0.0449050946118994,1.6372576779423813,0.9781209739260919,12611
beta_basket,5Y,rolled,interaction,shock_5y_roll,-1.2595508700301594,1.7635948308218847,0.47516208005620775,12611
