window,shock,term,coef,se,pval,nobs
[0],1Y,beta_USD,0.07824379303668225,0.27441455172150697,0.7755640870236594,13371
[0],1Y,beta_D,-1.3020317448745482,0.45066157510010574,0.0038901548647115453,13371
[0],1Y,beta_basket,1.3802755379112317,0.5408739682578612,0.01076124552357621,13371
[0],5Y,beta_USD,-0.11247905213749794,0.31617457430567053,0.7220526536078622,13371
[0],5Y,beta_D,-1.1959299124699083,0.47978851993329025,0.01273343260558419,13371
[0],5Y,beta_basket,1.083450860332408,0.6246076224379995,0.08291140062512883,13371
"[0,+1]",1Y,beta_USD,0.356087801835015,0.3793185005936807,0.347931222877642,12611
"[0,+1]",1Y,beta_D,-1.1796581181341095,0.6075324248884486,0.05226445942183422,12611
"[0,+1]",1Y,beta_basket,1.535745919969124,0.8251605111318757,0.06282101297461931,12611
"[0,+1]",5Y,beta_USD,0.20803078220697374,0.30657327184333266,0.4974640249163992,12611
"[0,+1]",5Y,beta_D,-1.0823513623939907,0.6812811004375354,0.11223348850821428,12611
"[0,+1]",5Y,beta_basket,1.290382144600962,0.8194354406895951,0.11542631603215343,12611
"[-1,+1]",1Y,beta_USD,0.8363734850844338,0.4508339647952649,0.0636712279997315,11884
"[-1,+1]",1Y,beta_D,-0.6691182115724292,0.5938353615167441,0.25992928357102957,11884
"[-1,+1]",1Y,beta_basket,1.5054916966568639,0.5992868762388387,0.012052917486723422,11884
"[-1,+1]",5Y,beta_USD,0.40448493052108714,0.5033644215119856,0.421713943077239,11884
"[-1,+1]",5Y,beta_D,-0.8799581447503294,0.7800290997562362,0.2593650329133131,11884
"[-1,+1]",5Y,beta_basket,1.2844430752714155,0.7496408236240938,0.0867414616798524,11884
