shock,matching,regime,coef,se,pval,nobs
1Y,exact,R1,0.8249362477407213,0.29947259514593366,0.00591023324771217,13017
1Y,exact,R2,0.5056374939322692,0.5953424339855025,0.39576781074885625,13017
1Y,exact,R3,-1.5158171423655633,0.5535894471223713,0.006213758249170077,13017
1Y,rolled,R1,0.8249372070993902,0.2994726263394096,0.005910180700398414,13017
1Y,rolled,R2,0.2711162644262336,0.4465381496265287,0.5437950060303551,13017
1Y,rolled,R3,-1.4174321028759207,0.7400120734411223,0.05553139281722865,13017
5Y,exact,R1,0.5668998608796594,0.5631379900831538,0.3141672293259618,13017
5Y,exact,R2,0.3316942534744242,0.3665414952163773,0.3655731580701277,13017
5Y,exact,R3,-1.0845240948726635,0.36354066266171703,0.0028745623090184985,13017
5Y,rolled,R1,0.5669004058456636,0.5631380913772133,0.3141668512354437,13017
5Y,rolled,R2,0.18750486383384957,0.3289488196335286,0.5687107745579001,13017
5Y,rolled,R3,-0.9908335923702143,0.5445469028265781,0.06892327503074885,13017
