regime,dropped_date,shock_dropped,coef,se,pval,shift_from_baseline
R1,2008-01-17,-0.02,0.8555536506517452,0.2828038983850519,0.0025846368257081676,0.030816796874010288
R1,2008-04-16,0.01,0.8251141063977877,0.29987550682652336,0.006101159816784257,3.77252620052837e-4
R1,2008-09-16,-0.31,0.9509572813537543,0.2844593502809254,8.773750866289772e-4,0.12622042757601948
R1,2008-10-09,-0.06,0.8839470192907843,0.26778496261572726,0.0010175248778468429,0.05921016551304947
R1,2008-10-30,0.025,0.8595716376834759,0.28284576463525624,0.002471103550276496,0.03483478390574102
R1,2008-11-26,-0.5,0.018584741913537928,0.47641954675847786,0.9688953202281951,-0.806152111864197
R1,2008-12-23,0.04,0.7824096085338319,0.31933289800121994,0.014548993078655514,-0.04232724524390297
R1,2010-01-13,0.12,0.9072492960045568,0.26214518091536804,5.745410817320854e-4,0.08251244222682197
R2,2010-10-20,0.175,0.5075633467734255,0.6556473600455347,0.4389918672705657,0.0038299254022983176
R2,2010-11-11,0.05,0.4133176179328641,0.5897695644659812,0.4835488943178087,-0.09041580343826311
R2,2011-02-09,0.27,0.6512926027440675,0.7476224271504358,0.38383619054182916,0.14755918137294033
R2,2011-04-06,0.02,0.50873981948099,0.5980430290530765,0.39511092266748304,0.0050063981098628085
R2,2011-05-13,0.12,0.4257352249299411,0.5978444658755138,0.4765233107585034,-0.07799819644118611
R2,2011-06-14,0.18,0.6555040790457198,0.6503914837212766,0.31371357881332884,0.15177065767459264
R2,2011-07-07,-0.06,0.4519491858397945,0.5972002552229594,0.44932228819994957,-0.05178423553133271
R2,2011-12-01,-0.2,0.025029020379452167,0.379276698645729,0.9473950329761385,-0.47870440099167505
R2,2012-05-10,-0.05,0.503218500008078,0.6007481852713846,0.40238349095056514,-5.149213630492033e-4
R2,2012-06-08,-0.17,0.6226224589301358,0.6479301647002091,0.336765192470026,0.11888903755900859
R2,2012-07-03,-0.02,0.47905794135521756,0.596062349400976,0.4217183422726366,-0.024675480015909634
R2,2012-07-06,-0.11,0.6880446543000156,0.603995805009973,0.25485379629521043,0.1843112329288884
R2,2012-07-19,0.03,0.5141627925761031,0.599463315936876,0.39121736200977053,0.01042937120497589
R2,2012-08-21,0.07,0.5175636798874813,0.599721604089943,0.38829705586047314,0.01383025851635411
R2,2013-07-30,-0.01,0.5163521362571997,0.5980389959968362,0.38807602003895236,0.012618714886072468
R2,2013-08-06,-0.05,0.5136959365827293,0.6003918857383574,0.3923801228098328,0.009962515211602074
R2,2013-08-13,0.0467,0.4625199104054564,0.5965007570251063,0.4382546260349687,-0.041213510965670774
R2,2013-10-29,0.0925,0.40505899086805186,0.5955511885510241,0.49653911918748683,-0.09867443050307534
R2,2014-04-22,-0.02,0.52658544429613,0.5986318403030717,0.3792165715687774,0.02285202292500277
R2,2014-06-10,-0.04,0.510502339959355,0.6004392549202426,0.39536618390314704,0.0067689185882278124
R2,2015-01-22,0.055,0.5953664704696995,0.6020372307832947,0.32289110274925903,0.09163304909857228
R2,2015-02-05,-0.025,0.5005120621895373,0.598204200156214,0.40292393890919165,-0.0032213591815899445
R2,2015-03-17,-0.12,0.47341263861911126,0.620579969580574,0.4456916658642923,-0.03032078275201594
R2,2015-03-24,-0.0617,0.3912461188840271,0.5873845152819358,0.5054799925350921,-0.1124873024871001
R2,2015-04-07,-0.075,0.5412603976833686,0.6043275634639185,0.3706146491332999,0.037526976312241445
R2,2015-04-14,-0.045,0.5237702492718046,0.601000624653356,0.383647810075177,0.0200368279006774
R2,2015-04-20,-0.2483,0.6913484817378072,0.7081253482447962,0.32909804880631577,0.18761506036667996
R2,2015-05-12,-0.1,0.5827813928858184,0.6151467840554588,0.3436226792589461,0.07904797151469123
R2,2015-06-25,-0.08,0.5452722784320679,0.6097568677870069,0.371360303843582,0.04153885706094074
R2,2015-06-30,-0.0833,0.41517694976257846,0.5955642806144207,0.4858584495329059,-0.08855647160854874
