spec,column,term,coef,se,pval,nobs
all events,pre-split level,price,1.5095227389679158,1.3241249168332008,0.2544231399984167,8188
excl. 26 Nov 2008,pre-split level,price,1.510432296604387,1.324182738274711,0.25415795581163947,8183
all events,post-split level,price,-2.118580871777246,0.6600675054388117,0.0013646235672171501,4829
excl. 26 Nov 2008,post-split level,price,-2.118580871777246,0.6600675054388117,0.0013646235672171501,4829
all events,post minus pre,price,-3.6565542634910395,1.479652676222564,0.013518612001264852,13017
excl. 26 Nov 2008,post minus pre,price,-3.6576663450570526,1.4796739146053757,0.013491635290249538,13012
all events,pre-split level,quantity,0.6114058747427039,0.3821909418257772,0.10982215948378822,8188
excl. 26 Nov 2008,pre-split level,quantity,0.23765146306404664,0.47200453659338587,0.6146751947687307,8183
all events,post-split level,quantity,-0.3770274623939731,0.25219876088465154,0.13519048173807457,4829
excl. 26 Nov 2008,post-split level,quantity,-0.3770274623939731,0.25219876088465154,0.13519048173807457,4829
all events,post minus pre,quantity,-0.9910965278367015,0.45942278112093554,0.031061840911470337,13017
excl. 26 Nov 2008,post minus pre,quantity,-0.6170206450443861,0.5360301274104186,0.24978289254520739,13012
