mediator,estimator,period,term,coef,se,pval,n
AFE dollar,date-level OLS,pre-split,shock_1y,-0.8748381943552507,0.8521009953796669,0.304704013759655,1847
AFE dollar,date-level OLS,post-split,shock_1y,-3.6412044616161676,1.665992480686723,0.029044155863154265,1160
AFE dollar,date-level OLS,interaction,shock_1y:post_split,-2.766366267260775,2.1527753256725117,0.19888327409519888,3007
AFE dollar,"panel, country FE, clustered",pre-split,shock_1y,-0.8531196783388983,0.6830143654224857,0.21180517869101684,7912
AFE dollar,"panel, country FE, clustered",post-split,shock_1y,-3.411494093654677,1.8116995071810853,0.05994627705943185,4699
AFE dollar,"panel, country FE, clustered",interaction,shock_1y:post_split,-2.554002297965064,1.9354794566955262,0.18707902788193,12611
Broad dollar,date-level OLS,pre-split,shock_1y,-0.37565116432950985,0.6514049586417111,0.564227079437112,1847
Broad dollar,date-level OLS,post-split,shock_1y,-2.60829557281559,1.395654285367521,0.06189328198022643,1160
Broad dollar,date-level OLS,interaction,shock_1y:post_split,-2.232644408485954,1.689086958043209,0.18633361179453609,3007
Broad dollar,"panel, country FE, clustered",pre-split,shock_1y,-0.38969202163802763,0.4079020905800731,0.3395226012985687,7914
Broad dollar,"panel, country FE, clustered",post-split,shock_1y,-2.3980020457972016,1.1608512693329365,0.03907648689429229,4699
Broad dollar,"panel, country FE, clustered",interaction,shock_1y:post_split,-2.006178800557662,1.229734970474618,0.10291272839611493,12613
