window,matching,term,coef,se,pval,nobs
[0],exact date,1Y,0.07750410103880245,0.273821924790017,0.777160758440149,13662
[0],rolled,1Y,0.0976286152117063,0.2438951090328811,0.6889710002702252,13662
[0],exact date,5Y,-0.11260365898243727,0.3156625156896325,0.7213244690173986,13662
[0],rolled,5Y,-0.05506110194290492,0.28151573212314296,0.8449454680508334,13662
"[0,+1]",exact date,1Y,0.39862189265318176,0.37294934487838843,0.2852267325215779,13017
"[0,+1]",rolled,1Y,0.2882137884953275,0.3457091390913908,0.4045208271574805,13017
"[0,+1]",exact date,5Y,0.23739394012897216,0.30601396596098035,0.43794896246273995,13017
"[0,+1]",rolled,5Y,0.17041633738809767,0.2912865094729989,0.5585587008782862,13017
"[-1,+1]",exact date,1Y,0.8857963921158565,0.4429523568490454,0.045614182416328405,12402
"[-1,+1]",rolled,1Y,0.698141501924022,0.4295402360944914,0.10419592628797719,12402
"[-1,+1]",exact date,5Y,0.440552130002978,0.5009909290897306,0.3792737722928964,12402
"[-1,+1]",rolled,5Y,0.42504418466279326,0.45979890390907696,0.35534349076044003,12402
