shock,matching,treatment,term,coef,se,pval,nobs
1Y,exact,unadjusted,shock_1y,0.39862189265316333,0.37294934487837444,0.28522673252158215,13017
1Y,exact,winsorized (1/99 pct),shock_1y,0.37521047926366047,0.41353765816091403,0.3643089328662269,13017
1Y,exact,"robust (MM, cluster boot.)",shock_1y,0.09276671124550534,0.39795679714880755,0.8156779367148533,13017
1Y,rolled,unadjusted,shock_1y_roll,0.28821378849535223,0.34570913909141515,0.4045208271574734,13017
1Y,rolled,winsorized (1/99 pct),shock_1y_roll,0.24158752568904174,0.36855225288633164,0.5121919763128486,13017
1Y,rolled,"robust (MM, cluster boot.)",shock_1y_roll,0.0011767657852699092,0.3527092728220875,0.9973379732766009,13017
5Y,exact,unadjusted,shock_5y,0.2373939401289514,0.30601396596095365,0.4379489624627405,13017
5Y,exact,winsorized (1/99 pct),shock_5y,0.2435442502579895,0.3413563169277996,0.4756146719482256,13017
5Y,exact,"robust (MM, cluster boot.)",shock_5y,0.018388717683113724,0.4079913342451525,0.9640504425566987,13017
5Y,rolled,unadjusted,shock_5y_roll,0.1704163373881071,0.2912865094730145,0.5585587008782853,13017
5Y,rolled,winsorized (1/99 pct),shock_5y_roll,0.16828512796105183,0.3262423450163361,0.6060110037664576,13017
5Y,rolled,"robust (MM, cluster boot.)",shock_5y_roll,-0.03597328194674272,0.32558075264106356,0.912021109986328,13017
