treatment,column,term,coef,se,pval,nobs
unadjusted,pre-split level,price,1.5095227389679158,1.3241249168332008,0.2544231399984167,8188
winsorized (1/99 pct),pre-split level,price,1.5094492860207882,1.3241266798176239,0.2544468775786845,8188
"robust (MM, cluster boot.)",pre-split level,price,1.1586351446549958,1.3997412441413675,0.40781236754550726,8188
unadjusted,post-split level,price,-2.118580871777246,0.6600675054388117,0.0013646235672171501,4829
winsorized (1/99 pct),post-split level,price,-2.118580871777246,0.6600675054388117,0.0013646235672171501,4829
"robust (MM, cluster boot.)",post-split level,price,-2.062014411691976,0.8150278432270968,0.01140649325262928,4829
unadjusted,post minus pre,price,-3.6565542634910395,1.479652676222564,0.013518612001264852,13017
winsorized (1/99 pct),post minus pre,price,-3.656481076971689,1.479654378542707,0.013520585549238568,13017
"robust (MM, cluster boot.)",post minus pre,price,-3.1863412415461263,1.505908936000989,0.03435396172654668,13017
unadjusted,post-split,price minus quantity,-1.7415534093832257,0.7049201322318922,0.013629650723386353,4829
winsorized (1/99 pct),post-split,price minus quantity,-1.7415534093832257,0.7049201322318922,0.013629650723386353,4829
"robust (MM, cluster boot.)",post-split,price minus quantity,-1.6642445702076345,6.388202025365499,0.7944638757898492,4829
unadjusted,pre-split level,quantity,0.6114058747427039,0.3821909418257772,0.10982215948378822,8188
winsorized (1/99 pct),pre-split level,quantity,0.6268182937001792,0.4512003600845521,0.1649269714576833,8188
"robust (MM, cluster boot.)",pre-split level,quantity,0.38015695379487285,0.422541141631545,0.3682840950007663,8188
unadjusted,post-split level,quantity,-0.3770274623939731,0.25219876088465154,0.13519048173807457,4829
winsorized (1/99 pct),post-split level,quantity,-0.3770274623939731,0.25219876088465154,0.13519048173807457,4829
"robust (MM, cluster boot.)",post-split level,quantity,-0.3977698414856318,8.511630418249192,0.9627264205477133,4829
unadjusted,post minus pre,quantity,-0.9910965278367015,0.45942278112093554,0.031061840911470337,13017
winsorized (1/99 pct),post minus pre,quantity,-1.0064329839288197,0.5181499479843694,0.052184366471765206,13017
"robust (MM, cluster boot.)",post minus pre,quantity,-0.7275553366146834,0.9881807145885202,0.46157408273426304,13017
