shock,matching,treatment,term,coef,se,pval,nobs
1Y,exact,unadjusted,shock_1y:post_split,-2.1938046452523308,0.659205190530633,8.850988127395453e-4,13017
1Y,exact,winsorized (1/99 pct),shock_1y:post_split,-2.2210328863358817,0.6953948314449423,0.0014176673273020815,13017
1Y,exact,"robust (MM, cluster boot.)",shock_1y:post_split,-1.8465915752851834,0.6911218673440536,0.007542863110811428,13017
1Y,rolled,unadjusted,shock_1y_roll:post_split,-1.9168977030587495,0.814600214917235,0.018676101276831402,13017
1Y,rolled,winsorized (1/99 pct),shock_1y_roll:post_split,-1.8990084413705266,0.8326908660335084,0.022641736791297544,13017
1Y,rolled,"robust (MM, cluster boot.)",shock_1y_roll:post_split,-1.8120278604485716,0.7501955910202192,0.015717625465195683,13017
5Y,exact,unadjusted,shock_5y:post_split,-1.526559286878483,0.4925905940925123,0.0019589198920794615,13017
5Y,exact,winsorized (1/99 pct),shock_5y:post_split,-1.5614024580495152,0.5225930848587897,0.0028320395923953543,13017
5Y,exact,"robust (MM, cluster boot.)",shock_5y:post_split,-1.2364723251217133,0.5455885276641068,0.023432455678278175,13017
5Y,rolled,unadjusted,shock_5y_roll:post_split,-1.3205033955658367,0.6261963100297405,0.03504471770319046,13017
5Y,rolled,winsorized (1/99 pct),shock_5y_roll:post_split,-1.3400480664077474,0.6485006991754597,0.03887579261853633,13017
5Y,rolled,"robust (MM, cluster boot.)",shock_5y_roll:post_split,-1.1562587079966962,0.6831212553319047,0.09052949214383872,13017
