raw_date_in_a,raw_weekday,rolled_date_in_c,roll_days
2010-11-20,Saturday,2010-11-22,2
2010-12-11,Saturday,2010-12-13,2
2011-01-15,Saturday,2011-01-18,3
2011-02-19,Saturday,2011-02-22,3
2011-03-19,Saturday,2011-03-21,2
2012-02-19,Sunday,2012-02-21,2
2012-05-13,Sunday,2012-05-14,1
2014-11-22,Saturday,2014-11-24,2
2015-03-01,Sunday,2015-03-02,1
2015-06-28,Sunday,2015-06-29,1
2015-10-24,Saturday,2015-10-26,2
2018-10-07,Sunday,2018-10-09,2
2019-01-05,Saturday,2019-01-07,2
2019-09-07,Saturday,2019-09-09,2
2020-03-14,Saturday,2020-03-16,2
