shock,matching,dropped_date,side,shock_dropped,int_coef,int_se,int_pval,pre_coef,pre_se,pre_pval,int_shift,pre_shift
1Y,exact,2008-01-17,pre,-0.02,-2.209744549839664,0.6578910998075111,7.922129538840545e-4,0.6937150219285664,0.3555685532687415,0.05114698923083432,-0.01593990458733341,0.01581737488322632
1Y,exact,2008-04-16,pre,0.01,-2.194105359814445,0.6592082655023377,8.837082168697433e-4,0.6781940705736733,0.35803299026859464,0.0582887494108395,-3.0071456211411274e-4,2.9642352833325614e-4
1Y,exact,2008-09-16,pre,-0.31,-2.2201442006736762,0.6878891293567287,0.0012619288413154989,0.7039952731223165,0.4084176049489164,0.08485939205927918,-0.026339555421345473,0.02609762607697641
1Y,exact,2008-10-09,pre,-0.06,-2.2224630097609595,0.6574055691637926,7.321002577628987e-4,0.7065824251535782,0.35470148526185974,0.04645358259190312,-0.028658364508628686,0.028684778108238107
1Y,exact,2008-10-30,pre,0.025,-2.211252795921435,0.6578419957004985,7.849794920387786e-4,0.6956909393285943,0.35562426809794084,0.050525296362786874,-0.017448150669104212,0.017793292283254214
1Y,exact,2008-11-26,pre,-0.5,-1.8987179128497624,0.7126023088818927,0.0077506856522711,0.38263314430493023,0.4487497688705252,0.3939112423544793,0.29508673240256833,-0.29526450274040983
1Y,exact,2008-12-23,pre,0.04,-2.172587768498574,0.6608092751507555,0.0010211465952607915,0.6567548418516788,0.36102441942733277,0.068986380371117,0.02121687675375661,-0.021142805193661296
1Y,exact,2010-01-13,pre,0.12,-2.234213112120968,0.6591197243750323,7.084810826298053e-4,0.7182396692004073,0.3578454622833471,0.04482350772870913,-0.040408466868637305,0.040342022155067214
1Y,exact,2010-10-20,pre,0.175,-2.2019835839474604,0.6674836871947869,9.815278286938196e-4,0.6860155188937784,0.3730339036734609,0.06600858964985022,-0.008178938695129645,0.008117871848438374
1Y,exact,2010-11-11,pre,0.05,-2.150060212701633,0.6619541328289054,0.0011744139691885233,0.6340275472639502,0.36301494282675056,0.08081290585556607,0.04374443255069771,-0.04387009978138989
1Y,exact,2011-02-09,pre,0.27,-2.2743729679811535,0.6701045712734461,6.973272434959312e-4,0.7585026964075984,0.3776938465617875,0.04470381963764676,-0.08056832272882275,0.08060504936225832
1Y,exact,2011-04-06,pre,0.02,-2.196149943519554,0.6591179004504323,8.725265147686357e-4,0.6802049515041839,0.357854586280236,0.057422967556798994,-0.0023452982672234057,0.002307304458843862
