numeraire,window,shock,coef,se,pval,nobs
usd,[0],shock_1y,-1.0203021686862774,0.5975468190641906,0.08783212516153373,13662
usd,"[0,+1]",shock_1y,-2.1938046452523308,0.659205190530633,8.850988127395453e-4,13017
usd,"[-1,+1]",shock_1y,-2.7509417678362817,0.7926313916804953,5.263329061694387e-4,12402
usd,[0],shock_5y,-0.47523792538485865,0.5101694502309111,0.35165226152860873,13662
usd,"[0,+1]",shock_5y,-1.526559286878483,0.49259059409251227,0.0019589198920794615,13017
usd,"[-1,+1]",shock_5y,-1.9036006049697578,0.873378413394538,0.02936375639390922,12402
usd,[0],shock_1y_roll,-1.0465278049110984,0.7281329772122007,0.15074063789337425,13662
usd,"[0,+1]",shock_1y_roll,-1.91689770305875,0.814600214917235,0.018676101276831385,13017
usd,"[-1,+1]",shock_1y_roll,-1.6571876724689303,1.0184376885374307,0.1037996638419397,12402
usd,[0],shock_5y_roll,-0.5575218185235856,0.589858089601751,0.34464089057381686,13662
usd,"[0,+1]",shock_5y_roll,-1.320503395565837,0.6261963100297405,0.03504471770319046,13017
usd,"[-1,+1]",shock_5y_roll,-0.7514359874788653,1.0661973407860557,0.48099950970772054,12402
cny,[0],shock_1y,0.933810607653562,1.380467685037789,0.49880953286577356,13398
cny,"[0,+1]",shock_1y,0.4603898703544892,1.1905120239862135,0.6989939527297765,12632
cny,"[-1,+1]",shock_1y,-0.7446229020898415,1.546527076179652,0.630210382773496,11899
cny,[0],shock_5y,1.991801659339627,1.5340966870953547,0.19426392779654034,13398
cny,"[0,+1]",shock_5y,1.0999147409794048,1.2274016905981417,0.37025367199320036,12632
cny,"[-1,+1]",shock_5y,0.2213744593885687,1.640086595981906,0.8926389689872809,11899
cny,[0],shock_1y_roll,0.6687399561151827,1.3206289959339286,0.6126267032162589,13398
cny,"[0,+1]",shock_1y_roll,0.2892190656295649,1.1794555805722555,0.8063074459702961,12632
cny,"[-1,+1]",shock_1y_roll,0.027609176655114975,1.407626292951251,0.9843526162014746,11899
cny,[0],shock_5y_roll,1.6550585868313412,1.4921580269928787,0.2674440762623872,13398
cny,"[0,+1]",shock_5y_roll,0.9416948860597673,1.2359563546829262,0.4461699310244507,12632
cny,"[-1,+1]",shock_5y_roll,1.091580420114199,1.5900887772365895,0.4924576098243022,11899
