numeraire,window,shock,term,coef,se,pval,nobs
USD,"[-5,+1]",1Y,shock_1y,-0.7325278269401404,0.5560355054198466,0.18780014831190917,10223
RMB cross,"[-5,+1]",1Y,shock_1y,-1.0120923718200805,0.9655823805553126,0.2946517307809588,9373
USD,"[-5,+1]",1Y (rolled),shock_1y_roll,-0.7703812911803105,0.49666756410670726,0.12098201039433626,10223
RMB cross,"[-5,+1]",1Y (rolled),shock_1y_roll,-0.6949906930005978,0.800179729632993,0.3851714237561329,9373
USD,"[-5,+1]",5Y,shock_5y,-0.5490643972495935,0.6561754567335457,0.4027908620105629,10223
RMB cross,"[-5,+1]",5Y,shock_5y,-0.3222928160769586,0.9321300521853133,0.7295494339631834,9373
USD,"[-5,+1]",5Y (rolled),shock_5y_roll,-0.5137975508248446,0.5847497801775177,0.3796540872188552,10223
RMB cross,"[-5,+1]",5Y (rolled),shock_5y_roll,-0.18620626197147844,0.8018626900780422,0.8163863289280814,9373
USD,"[-5,0]",1Y,shock_1y,-1.0321065280283128,0.632157432208444,0.10264085911681803,10738
RMB cross,"[-5,0]",1Y,shock_1y,-1.0048544926235,0.6500042424367318,0.12223494039723745,9959
USD,"[-5,0]",1Y (rolled),shock_1y_roll,-0.9042101022385322,0.5642545560633103,0.1091515995814773,10738
RMB cross,"[-5,0]",1Y (rolled),shock_1y_roll,-0.6646071823741253,0.6256867503344293,0.2882329268661924,9959
USD,"[-5,0]",5Y,shock_5y,-0.8679739069183477,0.740366084355565,0.24114493064475684,10738
RMB cross,"[-5,0]",5Y,shock_5y,-0.5892260104141551,0.8618909022483339,0.49425596029830754,9959
USD,"[-5,0]",5Y (rolled),shock_5y_roll,-0.67324893279778,0.6636401298770818,0.3104346646494746,10738
RMB cross,"[-5,0]",5Y (rolled),shock_5y_roll,-0.30706766557341014,0.7740948433131687,0.6916334138238049,9959
