numeraire,window,shock,term,coef,se,pval,nobs
USD,"[-5,+1]",1Y,shock_1y:post_split,-3.6928562678969152,1.5482075806800573,0.017128793915421797,10223
RMB cross,"[-5,+1]",1Y,shock_1y:post_split,-2.341770471568867,1.9958233140804356,0.24076103056461742,9373
USD,"[-5,+1]",1Y (rolled),shock_1y_roll:post_split,-3.3759552722757364,2.032151598741777,0.0967623767779484,10223
RMB cross,"[-5,+1]",1Y (rolled),shock_1y_roll:post_split,-2.604779391637682,2.1724034432781503,0.23061725964949253,9373
USD,"[-5,+1]",5Y,shock_5y:post_split,-2.616309426313767,1.6346441766050699,0.10958359317757756,10223
RMB cross,"[-5,+1]",5Y,shock_5y:post_split,-1.6170521066305101,1.9394564800359078,0.4044841749541126,9373
USD,"[-5,+1]",5Y (rolled),shock_5y_roll:post_split,-1.7455586126132772,2.0506774668831214,0.3947195593291176,10223
RMB cross,"[-5,+1]",5Y (rolled),shock_5y_roll:post_split,-1.5335705499925925,2.169232184222245,0.47964723182751157,9373
USD,"[-5,0]",1Y,shock_1y:post_split,-2.765725621804002,1.5926146836058628,0.08255967054596994,10738
RMB cross,"[-5,0]",1Y,shock_1y:post_split,-1.6275741346615862,1.699191617224176,0.33821862549729653,9959
USD,"[-5,0]",1Y (rolled),shock_1y_roll:post_split,-2.739887137879106,2.0341881762380023,0.1781062218993504,10738
RMB cross,"[-5,0]",1Y (rolled),shock_1y_roll:post_split,-2.0923886981757724,2.0037389258773857,0.2964619200904323,9959
USD,"[-5,0]",5Y,shock_5y:post_split,-1.912138616993969,1.6251290193380374,0.23944402422696473,10738
RMB cross,"[-5,0]",5Y,shock_5y:post_split,-0.832388381033428,1.8118418454923861,0.6459707978550324,9959
USD,"[-5,0]",5Y (rolled),shock_5y_roll:post_split,-1.2897742299149944,2.009811370938859,0.5210908747968548,10738
RMB cross,"[-5,0]",5Y (rolled),shock_5y_roll:post_split,-1.0637968857446376,2.0545562890170803,0.6046557886528992,9959
